image_id,true_label,predicted_label,confidence
ISIC_0027419.jpg,bkl,akiec,0.4906876
ISIC_0025030.jpg,bkl,nv,0.51969993
ISIC_0026769.jpg,bkl,nv,0.81369746
ISIC_0025661.jpg,bkl,nv,0.8558982
ISIC_0031633.jpg,bkl,akiec,0.6526903
ISIC_0027850.jpg,bkl,nv,0.7530099
ISIC_0029176.jpg,bkl,nv,0.62849015
ISIC_0029068.jpg,bkl,nv,0.8082349
ISIC_0025837.jpg,bkl,nv,0.7675076
ISIC_0025209.jpg,bkl,akiec,0.63937056
ISIC_0025276.jpg,bkl,akiec,0.9517505
ISIC_0029396.jpg,bkl,nv,0.51206124
ISIC_0025984.jpg,bkl,nv,0.57402545
ISIC_0025767.jpg,bkl,akiec,0.5549842
ISIC_0032417.jpg,bkl,akiec,0.90126795
ISIC_0031326.jpg,bkl,akiec,0.6598523
ISIC_0025915.jpg,bkl,nv,0.6683375
ISIC_0031029.jpg,bkl,akiec,0.6312649
ISIC_0029836.jpg,bkl,akiec,0.7716918
ISIC_0032129.jpg,bkl,nv,0.8466179
ISIC_0032343.jpg,bkl,nv,0.81977487
ISIC_0025033.jpg,bkl,akiec,0.77791685
ISIC_0027310.jpg,bkl,akiec,0.85260963
ISIC_0032128.jpg,bkl,akiec,0.51575947
ISIC_0025937.jpg,bkl,mel,0.44625497
ISIC_0027828.jpg,bkl,akiec,0.97980773
ISIC_0029291.jpg,bkl,akiec,0.8209489
ISIC_0030698.jpg,bkl,akiec,0.8308236
ISIC_0025567.jpg,bkl,akiec,0.9173269
ISIC_0031753.jpg,bkl,akiec,0.72105163
ISIC_0026835.jpg,bkl,mel,0.7207747
ISIC_0031159.jpg,bkl,akiec,0.63372165
ISIC_0031017.jpg,bkl,akiec,0.7628258
ISIC_0024981.jpg,bkl,akiec,0.9300915
ISIC_0027815.jpg,bkl,nv,0.9268516
ISIC_0024324.jpg,bkl,akiec,0.891786
ISIC_0029559.jpg,bkl,mel,0.4632426
ISIC_0030661.jpg,bkl,akiec,0.5361178
ISIC_0027053.jpg,bkl,akiec,0.9673951
ISIC_0028560.jpg,bkl,nv,0.4956221
ISIC_0031650.jpg,bkl,akiec,0.83763987
ISIC_0029161.jpg,bkl,nv,0.7061329
ISIC_0026273.jpg,bkl,akiec,0.7206641
ISIC_0025076.jpg,bkl,nv,0.5168536
ISIC_0029687.jpg,bkl,nv,0.59337646
ISIC_0025642.jpg,bkl,akiec,0.94520175
ISIC_0025819.jpg,bkl,nv,0.4648285
ISIC_0032013.jpg,bkl,akiec,0.5134633
ISIC_0031691.jpg,bkl,akiec,0.5933257
ISIC_0025419.jpg,bkl,akiec,0.8308848
ISIC_0030105.jpg,bkl,akiec,0.9530789
ISIC_0025016.jpg,bkl,mel,0.48401928
ISIC_0029147.jpg,bkl,akiec,0.36408067
ISIC_0029301.jpg,bkl,nv,0.7915455
ISIC_0026637.jpg,bkl,nv,0.718708
ISIC_0030377.jpg,bkl,nv,0.8950013
ISIC_0027960.jpg,bkl,nv,0.78938144
ISIC_0026955.jpg,bkl,nv,0.8456781
ISIC_0028052.jpg,bkl,nv,0.7983296
ISIC_0025286.jpg,bkl,akiec,0.9891695
ISIC_0031468.jpg,bkl,nv,0.90279496
ISIC_0030926.jpg,bkl,akiec,0.62645435
ISIC_0029288.jpg,bkl,nv,0.86859614
ISIC_0031008.jpg,bkl,nv,0.54702777
ISIC_0024698.jpg,nv,akiec,0.94131684
ISIC_0031495.jpg,bkl,nv,0.9363136
ISIC_0026104.jpg,bkl,nv,0.75422823
ISIC_0025099.jpg,bkl,akiec,0.9342019
ISIC_0031485.jpg,bkl,akiec,0.6363704
ISIC_0029413.jpg,bkl,nv,0.9729163
ISIC_0029576.jpg,bkl,akiec,0.89928424
ISIC_0031967.jpg,bkl,mel,0.62046695
ISIC_0031584.jpg,bkl,mel,0.5819009
ISIC_0025140.jpg,bkl,akiec,0.59667337
ISIC_0025554.jpg,bkl,nv,0.6078221
ISIC_0029289.jpg,bkl,akiec,0.740788
ISIC_0029912.jpg,bkl,akiec,0.914305
ISIC_0033539.jpg,bkl,nv,0.89720124
ISIC_0032283.jpg,bkl,nv,0.5890639
ISIC_0030005.jpg,bkl,akiec,0.83633393
ISIC_0030189.jpg,bkl,nv,0.8405884
ISIC_0026532.jpg,bkl,akiec,0.4983104
ISIC_0024832.jpg,bkl,nv,0.9114856
ISIC_0026958.jpg,bkl,akiec,0.91618687
ISIC_0030768.jpg,bkl,nv,0.91018605
ISIC_0029837.jpg,bkl,nv,0.5125951
ISIC_0031624.jpg,bkl,akiec,0.9479371
ISIC_0025510.jpg,bkl,akiec,0.8797437
ISIC_0030607.jpg,bkl,nv,0.4556212
ISIC_0029060.jpg,bkl,akiec,0.877229
ISIC_0029308.jpg,bkl,nv,0.82002234
ISIC_0024635.jpg,bkl,nv,0.71214
ISIC_0029425.jpg,bkl,nv,0.7116758
ISIC_0028774.jpg,bkl,nv,0.7857013
ISIC_0030565.jpg,bkl,nv,0.67484474
ISIC_0027023.jpg,bkl,nv,0.6957523
ISIC_0029022.jpg,bkl,nv,0.8427655
ISIC_0025388.jpg,bkl,nv,0.54780585
ISIC_0028080.jpg,bkl,nv,0.6560049
ISIC_0026153.jpg,bkl,nv,0.77121025
ISIC_0025876.jpg,bkl,akiec,0.5188799
ISIC_0025063.jpg,bkl,akiec,0.6330795
ISIC_0032463.jpg,bkl,nv,0.5645368
ISIC_0025548.jpg,bkl,akiec,0.798306
ISIC_0032306.jpg,bkl,nv,0.603637
ISIC_0032304.jpg,bkl,nv,0.4786874
ISIC_0031639.jpg,bkl,akiec,0.7126827
ISIC_0027957.jpg,bkl,nv,0.49444702
ISIC_0031212.jpg,bkl,nv,0.53371656
ISIC_0032382.jpg,bkl,nv,0.7409865
ISIC_0027533.jpg,bkl,nv,0.7757722
ISIC_0029674.jpg,bkl,nv,0.51707274
ISIC_0028607.jpg,bkl,nv,0.6847937
ISIC_0024623.jpg,bkl,nv,0.7637967
ISIC_0029613.jpg,bkl,nv,0.83275354
ISIC_0029418.jpg,bkl,akiec,0.9949538
ISIC_0027455.jpg,bkl,akiec,0.9779037
ISIC_0025906.jpg,bkl,akiec,0.9923017
ISIC_0027151.jpg,bkl,akiec,0.9152139
ISIC_0028646.jpg,bkl,nv,0.54053235
ISIC_0026794.jpg,bkl,akiec,0.626522
ISIC_0034318.jpg,bkl,akiec,0.99265337
ISIC_0032972.jpg,bkl,akiec,0.84044385
ISIC_0032534.jpg,bkl,akiec,0.9892926
ISIC_0033785.jpg,bkl,akiec,0.9855048
ISIC_0033184.jpg,bkl,akiec,0.97915685
ISIC_0032929.jpg,bkl,nv,0.8392436
ISIC_0032963.jpg,bkl,nv,0.7043412
ISIC_0032949.jpg,bkl,akiec,0.560943
ISIC_0033322.jpg,bkl,akiec,0.97617143
ISIC_0033127.jpg,bkl,akiec,0.91334224
ISIC_0033041.jpg,bkl,akiec,0.85775924
ISIC_0033900.jpg,bkl,akiec,0.9104771
ISIC_0033361.jpg,bkl,akiec,0.9607969
ISIC_0032732.jpg,bkl,akiec,0.94066703
ISIC_0032778.jpg,bkl,akiec,0.9525997
ISIC_0033466.jpg,bkl,nv,0.625162
ISIC_0030276.jpg,bkl,nv,0.6978231
ISIC_0033583.jpg,bkl,akiec,0.80826193
ISIC_0033465.jpg,bkl,akiec,0.7700555
ISIC_0029683.jpg,bkl,akiec,0.8728765
ISIC_0033482.jpg,bkl,akiec,0.7346162
ISIC_0033201.jpg,bkl,akiec,0.64989173
ISIC_0032514.jpg,bkl,akiec,0.8977036
ISIC_0033691.jpg,bkl,akiec,0.98532933
ISIC_0033910.jpg,bkl,akiec,0.977563
ISIC_0032556.jpg,bkl,akiec,0.92613626
ISIC_0033646.jpg,bkl,nv,0.8744399
ISIC_0033592.jpg,bkl,akiec,0.9370975
